#chrom	chromStart	chromEnd	name	strand	geneName
chr1	497209	502873	ENST00000641916.1	-	AL732372.2
chr1	497239	499002	ENST00000601486.5	-	AL732372.2
chr1	497244	502598	ENST00000641579.1	-	AL732372.2
chr1	497274	498976	ENST00000616947.2	-	AL732372.2
chr1	498280	499175	ENST00000432964.1	-	AL732372.2
chr1	498983	501607	ENST00000608420.1	-	AL732372.2
chr1	501587	517252	ENST00000641303.1	-	AL732372.2
chr1	501603	517225	ENST00000641063.1	-	AL732372.2
chr1	504469	514413	ENST00000641049.1	-	AL732372.2
chr1	504864	522928	ENST00000642124.1	-	AL732372.2
chr1	516375	516479	ENST00000614007.1	-	U6
chr1	586070	612813	ENST00000634833.2	-	AL669831.3
chr1	586277	588453	ENST00000417636.2	-	AL669831.3
chr1	586944	720194	ENST00000419394.2	-	AL669831.3
chr1	587628	594768	ENST00000423796.1	+	AC114498.1
chr1	587667	594574	ENST00000450696.1	+	AC114498.1
chr1	594190	633129	ENST00000440196.3	-	AL669831.3
chr1	594197	631204	ENST00000641296.1	-	AL669831.3
chr1	594307	598551	ENST00000357876.6	-	AL669831.3
chr1	594307	827769	ENST00000635509.2	-	AL669831.3
chr1	594307	827796	ENST00000634337.2	-	AL669831.3
chr1	594457	733064	ENST00000648019.1	-	AL669831.3
chr1	601435	720200	ENST00000440200.5	-	AL669831.3
chr1	627376	631150	ENST00000452176.2	-	AL669831.3
chr1	629061	629433	ENST00000416931.1	+	MTND1P23
chr1	629639	630683	ENST00000457540.1	+	MTND2P28
chr1	631073	632616	ENST00000414273.1	+	MTCO1P12
chr1	632324	632413	ENST00000621981.1	-	AC114498.2
chr1	632756	633438	ENST00000427426.1	+	MTCO2P12
chr1	633534	633741	ENST00000467115.1	+	MTATP8P1
chr1	633695	634376	ENST00000514057.1	+	MTATP6P1
chr1	634375	634922	ENST00000416718.2	+	MTCO3P12
chr1	674841	675265	ENST00000438434.2	+	WBP1LP6
chr1	685678	686673	ENST00000332831.4	-	OR4F16
chr1	701935	720150	ENST00000441245.5	-	AL669831.3
chr1	711866	732212	ENST00000414688.6	-	AL669831.3
chr1	720023	720206	ENST00000636676.1	-	AL669831.3
chr1	720052	724564	ENST00000447954.2	-	AL669831.3
chr1	722091	724903	ENST00000440782.3	+	CICP3
chr1	725884	778626	ENST00000506640.2	-	AL669831.1
chr1	758232	758336	ENST00000411249.1	-	RNU6-1199P
chr1	760910	761989	ENST00000422528.1	+	AL669831.2
chr1	764722	774280	ENST00000428504.2	-	AL669831.1
chr1	778746	805994	ENST00000655765.1	+	LINC01409
chr1	778746	810063	ENST00000412115.2	+	LINC01409
chr1	778757	810062	ENST00000670700.1	+	LINC01409
chr1	778759	805270	ENST00000429505.6	+	LINC01409
chr1	778759	810062	ENST00000657896.1	+	LINC01409
chr1	778769	784690	ENST00000434264.6	+	LINC01409
chr1	778781	782191	ENST00000457084.1	+	LINC01409
chr1	778795	810062	ENST00000658648.1	+	LINC01409
chr1	778801	810057	ENST00000656571.1	+	LINC01409
chr1	778808	787186	ENST00000665867.1	+	LINC01409
chr1	778808	810047	ENST00000669749.1	+	LINC01409
chr1	778811	810057	ENST00000666217.1	+	LINC01409
chr1	778811	810065	ENST00000665719.1	+	LINC01409
chr1	778848	805272	ENST00000651411.1	+	LINC01409
chr1	778929	784655	ENST00000589899.5	+	LINC01409
chr1	778936	784429	ENST00000609830.1	+	LINC01409
chr1	778971	808378	ENST00000443772.2	+	LINC01409
chr1	781936	782050	ENST00000644482.1	+	AL669831.6
chr1	784369	784759	ENST00000585826.1	+	LINC01409
chr1	784369	784977	ENST00000592547.1	+	LINC01409
chr1	784369	786866	ENST00000586928.5	+	LINC01409
chr1	784369	795513	ENST00000585745.5	+	LINC01409
chr1	784369	801876	ENST00000585768.5	+	LINC01409
chr1	784369	804832	ENST00000590848.5	+	LINC01409
chr1	784369	805127	ENST00000591440.5	+	LINC01409
chr1	784369	805270	ENST00000587530.5	+	LINC01409
chr1	784369	806459	ENST00000593022.5	+	LINC01409
chr1	784369	807314	ENST00000589531.5	+	LINC01409
chr1	784369	809729	ENST00000588951.5	+	LINC01409
chr1	784395	807321	ENST00000586288.1	+	LINC01409
chr1	785799	787672	ENST00000591702.1	+	LINC01409
chr1	800878	817712	ENST00000447500.4	-	AL669831.4
chr1	803835	806580	ENST00000655384.1	+	LINC01409
chr1	803933	807435	ENST00000667728.1	+	LINC01409
chr1	805798	810161	ENST00000590817.3	-	AL669831.4
chr1	817370	819837	ENST00000326734.2	+	FAM87B
chr1	825137	849592	ENST00000624927.3	+	LINC01128
chr1	826205	827522	ENST00000473798.1	-	LINC00115
chr1	826831	852225	ENST00000623808.3	+	LINC01128
chr1	827597	859446	ENST00000445118.7	+	LINC01128
chr1	827602	846365	ENST00000669922.1	+	LINC01128
chr1	827603	859085	ENST00000670780.1	+	LINC01128
chr1	827634	849162	ENST00000667414.1	+	LINC01128
chr1	827637	859408	ENST00000666741.1	+	LINC01128
chr1	827651	853522	ENST00000623070.4	+	LINC01128
chr1	827651	859332	ENST00000659124.1	+	LINC01128
chr1	827653	853602	ENST00000658846.1	+	LINC01128
chr1	827653	854096	ENST00000608189.5	+	LINC01128
chr1	827656	852014	ENST00000448975.6	+	LINC01128
chr1	827662	853497	ENST00000449005.6	+	LINC01128
chr1	827666	842001	ENST00000441765.6	+	LINC01128
chr1	827666	853452	ENST00000609139.6	+	LINC01128
chr1	827666	854385	ENST00000609009.6	+	LINC01128
chr1	827672	857246	ENST00000657837.1	+	LINC01128
chr1	827691	850213	ENST00000610067.6	+	LINC01128
chr1	827698	852766	ENST00000416570.5	+	LINC01128
chr1	827699	854376	ENST00000661237.1	+	LINC01128
chr1	827770	842001	ENST00000668541.1	+	LINC01128
chr1	827805	854385	ENST00000657175.1	+	LINC01128
chr1	827814	841999	ENST00000660797.1	+	LINC01128
chr1	827820	852515	ENST00000622921.1	+	LINC01128
chr1	831577	843594	ENST00000670824.1	+	LINC01128
chr1	831604	842020	ENST00000415295.1	+	LINC01128
chr1	851347	852752	ENST00000425657.1	+	LINC01128
chr1	860225	866720	ENST00000671208.1	+	AL669831.7
chr1	860226	868202	ENST00000661463.1	+	AL669831.7
chr1	868070	876903	ENST00000446136.1	-	FAM41C
chr1	868239	870201	ENST00000432963.1	-	FAM41C
chr1	868402	876802	ENST00000427857.1	-	FAM41C
chr1	873291	874349	ENST00000415481.1	+	TUBB8P11
chr1	874528	877234	ENST00000635557.1	-	AL669831.5
chr1	904833	915976	ENST00000607769.1	+	AL645608.6
chr1	911434	914948	ENST00000448179.1	+	AL645608.2
chr1	914170	914971	ENST00000398216.2	+	AL645608.4
chr1	916864	921016	ENST00000609207.1	-	LINC02593
chr1	916869	919692	ENST00000417705.1	-	LINC02593
chr1	917369	918534	ENST00000432961.1	-	LINC02593
chr1	923927	939291	ENST00000420190.6	+	SAMD11
chr1	925149	935793	ENST00000437963.5	+	SAMD11
chr1	925730	944574	ENST00000342066.8	+	SAMD11
chr1	925740	944581	ENST00000616016.4	+	SAMD11
chr1	925740	944581	ENST00000616125.4	+	SAMD11
chr1	925740	944581	ENST00000617307.4	+	SAMD11
chr1	925740	944581	ENST00000618181.4	+	SAMD11
chr1	925740	944581	ENST00000618323.4	+	SAMD11
chr1	925740	944581	ENST00000618779.4	+	SAMD11
chr1	925740	944581	ENST00000620200.4	+	SAMD11
chr1	925740	944581	ENST00000622503.4	+	SAMD11
chr1	930311	944575	ENST00000341065.8	+	SAMD11
chr1	939274	944259	ENST00000455979.1	+	SAMD11
chr1	940345	942173	ENST00000478729.1	+	SAMD11
chr1	941075	942994	ENST00000474461.1	+	SAMD11
chr1	942102	942802	ENST00000466827.1	+	SAMD11
chr1	942165	942892	ENST00000464948.1	+	SAMD11
chr1	944202	959256	ENST00000327044.7	-	NOC2L
chr1	944203	947060	ENST00000483767.5	-	NOC2L
chr1	944204	958458	ENST00000477976.5	-	NOC2L
chr1	945318	945562	ENST00000496938.1	-	NOC2L
chr1	954425	959309	ENST00000487214.1	-	NOC2L
chr1	958245	959256	ENST00000469563.1	-	NOC2L
chr1	960583	965719	ENST00000338591.8	+	KLHL17
chr1	960638	965602	ENST00000622660.1	+	KLHL17
chr1	961448	962478	ENST00000463212.1	+	KLHL17
chr1	962726	964530	ENST00000466300.1	+	KLHL17
chr1	963551	964164	ENST00000481067.1	+	KLHL17
chr1	966481	975865	ENST00000379410.8	+	PLEKHN1
chr1	966501	975008	ENST00000379407.7	+	PLEKHN1
chr1	966501	975008	ENST00000379409.6	+	PLEKHN1
chr1	970874	971523	ENST00000480267.1	+	PLEKHN1
chr1	973511	975865	ENST00000491024.1	+	PLEKHN1
chr1	975203	982093	ENST00000341290.6	-	PERM1
chr1	975204	976641	ENST00000479361.1	-	PERM1
chr1	975204	981029	ENST00000433179.3	-	PERM1
chr1	995965	998051	ENST00000606034.1	-	AL645608.7
chr1	998961	1000172	ENST00000428771.6	-	HES4
chr1	998963	1000097	ENST00000304952.11	-	HES4
chr1	998965	1000096	ENST00000481869.1	-	HES4
chr1	998969	999981	ENST00000484667.2	-	HES4
chr1	1001137	1014540	ENST00000624697.4	+	ISG15
chr1	1001144	1014435	ENST00000624652.1	+	ISG15
chr1	1008075	1008229	ENST00000423619.2	-	AL645608.3
chr1	1011996	1013193	ENST00000458555.1	-	AL645608.1
chr1	1013496	1014540	ENST00000649529.1	+	ISG15
chr1	1020119	1056116	ENST00000379370.7	+	AGRN
chr1	1020122	1056118	ENST00000620552.4	+	AGRN
chr1	1034105	1056116	ENST00000651234.1	+	AGRN
chr1	1034105	1056116	ENST00000652369.1	+	AGRN
chr1	1034866	1041397	ENST00000469403.1	+	AGRN
chr1	1045398	1046349	ENST00000479707.1	+	AGRN
chr1	1047200	1047865	ENST00000466223.1	+	AGRN
chr1	1047474	1047838	ENST00000478677.1	+	AGRN
chr1	1048528	1049394	ENST00000492947.1	+	AGRN
chr1	1051985	1056112	ENST00000461111.1	+	AGRN
chr1	1055032	1056116	ENST00000418300.1	+	AL645608.5
chr1	1059707	1066459	ENST00000394517.7	+	AL390719.1
chr1	1059733	1066456	ENST00000427998.5	+	AL390719.1
chr1	1062207	1063288	ENST00000442292.2	-	AL645608.8
chr1	1063078	1066456	ENST00000456409.5	+	AL390719.1
chr1	1063078	1069355	ENST00000412397.2	+	AL390719.1
chr1	1064494	1066274	ENST00000433695.1	+	AL390719.1
chr1	1064517	1066441	ENST00000451054.1	+	AL390719.1
chr1	1070966	1074306	ENST00000453464.3	-	RNF223
chr1	1081817	1116081	ENST00000379339.5	-	C1orf159
chr1	1081822	1092077	ENST00000465822.5	-	C1orf159
chr1	1081822	1116089	ENST00000421241.7	-	C1orf159
chr1	1081822	1116095	ENST00000379325.7	-	C1orf159
chr1	1081824	1087636	ENST00000487177.5	-	C1orf159
chr1	1081824	1116089	ENST00000467751.5	-	C1orf159
chr1	1081824	1116089	ENST00000477196.5	-	C1orf159
chr1	1082145	1084072	ENST00000464905.1	-	C1orf159
chr1	1082234	1092174	ENST00000379320.5	-	C1orf159
chr1	1082699	1106127	ENST00000379319.5	-	C1orf159
chr1	1082915	1116095	ENST00000434641.5	-	C1orf159
chr1	1083925	1116243	ENST00000482816.5	-	C1orf159
chr1	1087138	1116356	ENST00000462097.5	-	C1orf159
chr1	1087140	1092294	ENST00000473600.1	-	C1orf159
chr1	1087189	1116361	ENST00000475119.5	-	C1orf159
chr1	1087574	1092813	ENST00000442117.5	-	C1orf159
chr1	1090405	1092813	ENST00000427787.5	-	C1orf159
chr1	1091045	1116087	ENST00000472741.5	-	C1orf159
chr1	1091499	1116089	ENST00000480643.1	-	C1orf159
chr1	1097584	1104598	ENST00000648183.1	+	AL390719.3
chr1	1137016	1144056	ENST00000416774.1	+	LINC01342
chr1	1167103	1167198	ENST00000384997.3	+	MIR200B
chr1	1167862	1167952	ENST00000384875.3	+	MIR200A
chr1	1169004	1169087	ENST00000362106.1	+	MIR429
chr1	1169356	1170343	ENST00000606993.1	+	AL390719.2
chr1	1173055	1179555	ENST00000379317.1	-	TTLL10-AS1
chr1	1173879	1197936	ENST00000379289.6	+	TTLL10
chr1	1173879	1197936	ENST00000379290.6	+	TTLL10
chr1	1173883	1175034	ENST00000506177.1	+	TTLL10
chr1	1173897	1180174	ENST00000673999.1	+	TTLL10
chr1	1179696	1185864	ENST00000379288.3	+	TTLL10
chr1	1180483	1183927	ENST00000460998.1	+	TTLL10
chr1	1180536	1180884	ENST00000514695.1	+	TTLL10
chr1	1185035	1197475	ENST00000486379.1	+	TTLL10
chr1	1203507	1206571	ENST00000328596.10	-	TNFRSF18
chr1	1203507	1206592	ENST00000379268.7	-	TNFRSF18
chr1	1203843	1205680	ENST00000486728.5	-	TNFRSF18
chr1	1203843	1206571	ENST00000379265.5	-	TNFRSF18
chr1	1211339	1214138	ENST00000497869.5	-	TNFRSF4
chr1	1211339	1214153	ENST00000379236.4	-	TNFRSF4
chr1	1212018	1213498	ENST00000453580.1	-	TNFRSF4
chr1	1216908	1232067	ENST00000660930.1	-	SDF4
chr1	1216930	1232001	ENST00000360001.12	-	SDF4
chr1	1216930	1232031	ENST00000263741.12	-	SDF4
chr1	1216930	1232031	ENST00000465727.5	-	SDF4
chr1	1216931	1221351	ENST00000494748.1	-	SDF4
chr1	1216933	1220293	ENST00000478938.1	-	SDF4
chr1	1218522	1228596	ENST00000403997.2	-	SDF4
chr1	1227271	1231968	ENST00000459994.2	-	SDF4
chr1	1232236	1235041	ENST00000379198.5	+	B3GALT6
chr1	1242445	1243463	ENST00000462849.1	-	C1QTNF12
chr1	1242448	1243158	ENST00000478606.1	-	C1QTNF12
chr1	1242452	1246722	ENST00000330388.2	-	C1QTNF12
chr1	1243265	1244418	ENST00000468365.1	-	C1QTNF12
chr1	1243980	1244724	ENST00000486627.1	-	C1QTNF12
chr1	1249776	1251334	ENST00000565563.1	-	AL162741.1
chr1	1253908	1273853	ENST00000450390.6	-	UBE2J2
chr1	1253911	1273854	ENST00000349431.11	-	UBE2J2
chr1	1253913	1273854	ENST00000347370.6	-	UBE2J2
chr1	1254984	1273855	ENST00000400929.6	-	UBE2J2
chr1	1255047	1273864	ENST00000464036.5	-	UBE2J2
chr1	1255163	1273726	ENST00000360466.6	-	UBE2J2
chr1	1255177	1273833	ENST00000400930.8	-	UBE2J2
chr1	1255263	1256335	ENST00000467339.1	-	UBE2J2
chr1	1255267	1273849	ENST00000473215.5	-	UBE2J2
chr1	1255394	1273844	ENST00000435198.5	-	UBE2J2
chr1	1255438	1273827	ENST00000509720.5	-	UBE2J2
chr1	1256048	1273790	ENST00000491779.5	-	UBE2J2
chr1	1256991	1273815	ENST00000466752.5	-	UBE2J2
chr1	1257010	1273833	ENST00000503294.5	-	UBE2J2
chr1	1257048	1273854	ENST00000477894.5	-	UBE2J2
chr1	1257121	1263569	ENST00000471154.1	-	UBE2J2
chr1	1257226	1273837	ENST00000422076.5	-	UBE2J2
chr1	1257269	1273854	ENST00000502382.1	-	UBE2J2
chr1	1262852	1273837	ENST00000461142.3	-	UBE2J2
chr1	1267861	1273471	ENST00000488418.2	-	UBE2J2
chr1	1275222	1280420	ENST00000434139.1	+	LINC01786
chr1	1275236	1279393	ENST00000453732.1	+	LINC01786
chr1	1280435	1292025	ENST00000379116.10	+	SCNN1D
chr1	1280471	1291373	ENST00000379101.8	+	SCNN1D
chr1	1280587	1292024	ENST00000338555.6	+	SCNN1D
chr1	1281223	1292029	ENST00000400928.7	+	SCNN1D
chr1	1281924	1286168	ENST00000470022.1	+	SCNN1D
chr1	1282108	1292024	ENST00000325425.12	+	SCNN1D
chr1	1282163	1285597	ENST00000467651.2	+	SCNN1D
chr1	1287108	1290943	ENST00000379099.3	+	SCNN1D
chr1	1292389	1305929	ENST00000492936.5	-	ACAP3
chr1	1292390	1307930	ENST00000354700.10	-	ACAP3
chr1	1292869	1298955	ENST00000467278.5	-	ACAP3
chr1	1293563	1303260	ENST00000353662.4	-	ACAP3
chr1	1294498	1295008	ENST00000470659.1	-	ACAP3
chr1	1296109	1296170	ENST00000613751.1	-	MIR6726
chr1	1296435	1298265	ENST00000379037.6	-	ACAP3
chr1	1296465	1299617	ENST00000476572.1	-	ACAP3
chr1	1297836	1298241	ENST00000493992.1	-	ACAP3
chr1	1298743	1309609	ENST00000472541.5	-	ACAP3
chr1	1300195	1307821	ENST00000354980.7	-	ACAP3
chr1	1301447	1304901	ENST00000478065.5	-	ACAP3
chr1	1301855	1307830	ENST00000479108.5	-	ACAP3
chr1	1303209	1307818	ENST00000438966.1	-	ACAP3
chr1	1308596	1311677	ENST00000379031.10	+	PUSL1
chr1	1308610	1311028	ENST00000470520.5	+	PUSL1
chr1	1308787	1309840	ENST00000463758.1	+	PUSL1
chr1	1308820	1311069	ENST00000467712.1	+	PUSL1
chr1	1309234	1311676	ENST00000493657.1	+	PUSL1
chr1	1311584	1315433	ENST00000470030.6	-	INTS11
chr1	1311584	1324687	ENST00000540437.5	-	INTS11
chr1	1311584	1324687	ENST00000545578.5	-	INTS11
chr1	1311584	1324687	ENST00000618806.4	-	INTS11
chr1	1311584	1324687	ENST00000620829.4	-	INTS11
chr1	1311597	1312700	ENST00000497304.6	-	INTS11
chr1	1311599	1324621	ENST00000323275.10	-	INTS11
chr1	1311599	1324660	ENST00000435064.6	-	INTS11
chr1	1311600	1324673	ENST00000411962.5	-	INTS11
chr1	1311601	1317450	ENST00000462432.5	-	INTS11
chr1	1311605	1315170	ENST00000478641.5	-	INTS11
chr1	1311605	1324637	ENST00000421495.6	-	INTS11
chr1	1311605	1324650	ENST00000458452.7	-	INTS11
chr1	1311605	1324653	ENST00000419704.5	-	INTS11
chr1	1311626	1324628	ENST00000532772.5	-	INTS11
chr1	1311818	1324670	ENST00000450926.6	-	INTS11
chr1	1311822	1324666	ENST00000527098.5	-	INTS11
chr1	1312079	1313825	ENST00000485710.5	-	INTS11
chr1	1312259	1313780	ENST00000461514.6	-	INTS11
chr1	1312264	1313765	ENST00000525164.5	-	INTS11
chr1	1312283	1324648	ENST00000528879.5	-	INTS11
chr1	1312285	1313750	ENST00000525769.5	-	INTS11
chr1	1312501	1312566	ENST00000620702.1	-	MIR6727
chr1	1312786	1319346	ENST00000531377.5	-	INTS11
chr1	1312938	1315608	ENST00000527383.5	-	INTS11
chr1	1313058	1314664	ENST00000531292.5	-	INTS11
chr1	1313545	1315601	ENST00000467408.6	-	INTS11
chr1	1313744	1324630	ENST00000434694.6	-	INTS11
chr1	1314135	1315141	ENST00000531020.1	-	INTS11
chr1	1314312	1315697	ENST00000533916.5	-	INTS11
chr1	1314412	1324629	ENST00000488042.6	-	INTS11
chr1	1314825	1324658	ENST00000526797.5	-	INTS11
chr1	1314826	1324660	ENST00000526332.5	-	INTS11
chr1	1314877	1324625	ENST00000430786.5	-	INTS11
chr1	1314915	1324671	ENST00000527719.5	-	INTS11
chr1	1314917	1324659	ENST00000530031.5	-	INTS11
chr1	1315003	1324637	ENST00000526113.1	-	INTS11
chr1	1315145	1324658	ENST00000526904.5	-	INTS11
chr1	1315559	1320905	ENST00000525603.1	-	INTS11
chr1	1317580	1318689	ENST00000444968.1	-	AL139287.1
chr1	1318678	1324666	ENST00000429572.5	-	INTS11
chr1	1318680	1324687	ENST00000498173.2	-	INTS11
chr1	1318696	1324611	ENST00000496353.1	-	INTS11
chr1	1319059	1324658	ENST00000493534.6	-	INTS11
chr1	1319305	1324671	ENST00000534345.5	-	INTS11
chr1	1319346	1324642	ENST00000532952.5	-	INTS11
chr1	1319380	1324649	ENST00000490853.5	-	INTS11
chr1	1319380	1324660	ENST00000531019.5	-	INTS11
chr1	1319402	1324660	ENST00000498476.6	-	INTS11
chr1	1319469	1324603	ENST00000470679.3	-	INTS11
chr1	1320477	1324613	ENST00000525285.1	-	INTS11
chr1	1322770	1324658	ENST00000530233.1	-	INTS11
chr1	1324755	1327994	ENST00000464957.1	+	CPTP
chr1	1324801	1328896	ENST00000343938.9	+	CPTP
chr1	1325240	1327471	ENST00000488011.1	+	CPTP
chr1	1331279	1335314	ENST00000339381.6	+	TAS1R3
chr1	1335275	1349112	ENST00000378891.9	-	DVL1
chr1	1335277	1349418	ENST00000378888.10	-	DVL1
chr1	1335278	1349135	ENST00000610709.2	-	DVL1
chr1	1336411	1339422	ENST00000632445.1	-	DVL1
chr1	1337022	1340052	ENST00000631679.1	-	DVL1
chr1	1338333	1340190	ENST00000634054.1	-	DVL1
chr1	1339491	1340365	ENST00000633096.1	-	DVL1
chr1	1339649	1339708	ENST00000616525.1	-	MIR6808
chr1	1341769	1348955	ENST00000472445.1	-	DVL1
chr1	1352688	1354264	ENST00000474033.5	-	MXRA8
chr1	1352688	1358794	ENST00000342753.8	-	MXRA8
chr1	1352690	1358555	ENST00000309212.11	-	MXRA8
chr1	1352691	1358543	ENST00000445648.5	-	MXRA8
chr1	1352691	1361777	ENST00000477278.3	-	MXRA8
chr1	1353191	1354474	ENST00000473097.5	-	MXRA8
chr1	1353214	1354247	ENST00000478517.5	-	MXRA8
chr1	1353438	1355016	ENST00000476718.1	-	MXRA8
chr1	1355003	1355512	ENST00000464351.1	-	MXRA8
chr1	1355082	1355512	ENST00000460473.1	-	MXRA8
chr1	1373729	1375157	ENST00000338370.7	-	AURKAIP1
chr1	1373729	1375495	ENST00000338338.9	-	AURKAIP1
chr1	1373731	1375169	ENST00000321751.9	-	AURKAIP1
chr1	1373736	1375173	ENST00000378853.3	-	AURKAIP1
chr1	1374243	1375144	ENST00000489799.1	-	AURKAIP1
chr1	1374437	1375159	ENST00000496905.1	-	AURKAIP1
chr1	1378665	1379032	ENST00000435351.2	+	NDUFB4P8
chr1	1385710	1391096	ENST00000480479.5	-	CCNL2
chr1	1385710	1399335	ENST00000400809.8	-	CCNL2
chr1	1386481	1398304	ENST00000482621.5	-	CCNL2
chr1	1386494	1388713	ENST00000463260.5	-	CCNL2
chr1	1386498	1399309	ENST00000496007.5	-	CCNL2
chr1	1386501	1391754	ENST00000482365.5	-	CCNL2
chr1	1386502	1390943	ENST00000408952.8	-	CCNL2
chr1	1386707	1399311	ENST00000481223.6	-	CCNL2
chr1	1386712	1392525	ENST00000418865.6	-	CCNL2
chr1	1387121	1391649	ENST00000505849.5	-	CCNL2
chr1	1387231	1399328	ENST00000488340.5	-	CCNL2
chr1	1387542	1390900	ENST00000492998.5	-	CCNL2
chr1	1388022	1392716	ENST00000469113.5	-	CCNL2
chr1	1389345	1391004	ENST00000480646.1	-	CCNL2
chr1	1391152	1398366	ENST00000471930.5	-	CCNL2
chr1	1392287	1399317	ENST00000408918.8	-	CCNL2
chr1	1393079	1398287	ENST00000473872.5	-	CCNL2
chr1	1393443	1399325	ENST00000425598.2	-	CCNL2
chr1	1395184	1398287	ENST00000463895.1	-	CCNL2
chr1	1395436	1398956	ENST00000497013.1	-	CCNL2
chr1	1399519	1402019	ENST00000659048.1	+	MRPL20-AS1
chr1	1399519	1402036	ENST00000448629.6	+	MRPL20-AS1
chr1	1399526	1402046	ENST00000444362.2	+	MRPL20-AS1
chr1	1399529	1402026	ENST00000418833.2	+	MRPL20-AS1
chr1	1399551	1400608	ENST00000576232.1	+	MRPL20-AS1
chr1	1399561	1400544	ENST00000570344.1	+	MRPL20-AS1
chr1	1399571	1402006	ENST00000447725.2	+	MRPL20-AS1
chr1	1399805	1402033	ENST00000572242.1	+	MRPL20-AS1
chr1	1400418	1402046	ENST00000453521.1	+	MRPL20-AS1
chr1	1401908	1407293	ENST00000344843.12	-	MRPL20
chr1	1401912	1406307	ENST00000493287.5	-	MRPL20
chr1	1401912	1407268	ENST00000487659.1	-	MRPL20
chr1	1402181	1406998	ENST00000492508.1	-	MRPL20
chr1	1405108	1407290	ENST00000482352.1	-	MRPL20
chr1	1405459	1405752	ENST00000582431.2	-	RN7SL657P
chr1	1406248	1407235	ENST00000477686.1	-	MRPL20
chr1	1409095	1410618	ENST00000607307.1	+	MRPL20-DT
